Type	1998-1st quarter	1998-2nd quarter	1998-3rd quarter	1998-4th quarter	1999-1st quarter	1999-2nd quarter	1999-3rd quarter	1999-4th quarter	2000-1st quarter	2000-2nd quarter	2000-3rd quarter	2000-4th quarter	2001-1st quarter	2001-2nd quarter	2001-3rd quarter	2001-4th quarter	2002-1st quarter	2002-2nd quarter	2002-3rd quarter	2002-4th quarter	2003-1st quarter	2003-2nd quarter	2003-3rd quarter	2003-4th quarter	2004-1st quarter	2004-2nd quarter	2004-3rd quarter	2004-4th quarter	2005-1st quarter	2005-2nd quarter	2005-3rd quarter	2005-4th quarter	2006-1st quarter	2006-2nd quarter	2006-3rd quarter	2006-4th quarter	2007-1st quarter	2007-2nd quarter	2007-3rd quarter	2007-4th quarter	2008-1st quarter	2008-2nd quarter	2008-3rd quarter	2008-4th quarter	2009-1st quarter	2009-2nd quarter	2009-3rd quarter	2009-4th quarter	2010-1st quarter	2010-2nd quarter	2010-3rd quarter	2010-4th quarter	2011-1st quarter	2011-2nd quarter	2011-3rd quarter	2011-4th quarter	2012-1st quarter	2012-2nd quarter	2012-3rd quarter	2012-4th quarter	2013-1st quarter	2013-2nd quarter	2013-3rd quarter	2013-4th quarter	2014-1st quarter	2014-2nd quarter	2014-3rd quarter	2014-4th quarter	2015-1st quarter	2015-2nd quarter	2015-3rd quarter	2015-4th quarter 	2016-1st quarter	2016-2nd quarter	2016-3rd quarter	2016-4th quarter	2017-1st quarter	2017-2nd quarter	2017-3rd quarter	2017-4th quarter	2018-1st quarter	2018-2nd quarter
Major power producers_Pumped Storage	0,46 	0,44 	0,40 	0,33 	0,81 	0,64 	0,79 	0,67 	0,70 	0,64 	0,63 	0,72 	0,68 	0,37 	0,57 	0,80 	0,74 	0,59 	0,64 	0,69 	0,65 	0,59 	0,77 	0,72 	0,71 	0,63 	0,61 	0,69 	0,77 	0,56 	0,69 	0,91 	1,07 	0,80 	0,99 	0,99 	0,89 	0,87 	1,03 	1,07 	0,95 	0,93 	1,09 	1,11 	1,04 	0,82 	0,91 	0,91 	0,86 	0,76 	0,71 	0,82 	0,77 	0,65 	0,70 	0,78 	0,79 	0,67 	0,71	0,79 	0,74 	0,69	0,71	0,76	0,79	0,67	0,63	0,79	0,72	0,65	0,65	0,71	0,76	0,69	0,69	0,82	0,79	0,69	0,64	0,75	0,75	0,66
Major power producers_Total major power producers	90,76 	77,21 	76,01 	89,79 	92,82 	78,03 	75,36 	90,40 	93,76 	80,02 	76,44 	91,56 	99,06 	81,82 	78,24 	93,94 	97,97 	81,50 	80,61 	93,91 	98,99 	84,41 	82,32 	96,88 	101,59 	78,92 	81,38 	96,43 	100,26 	84,52 	80,75 	96,68 	102,85 	82,38 	81,66 	94,35 	98,29 	83,05 	80,63 	99,35 	98,92 	82,11 	79,14 	95,07 	96,52 	77,03 	77,18 	91,27 	99,30 	78,31 	74,49 	95,51 	94,33 	76,34 	74,84 	87,03 	90,80 	76,59 	72,73	88,16	93,04 	75,27	71,59	84,72	83,99	69,56	67,00	80,27	84,99	67,29	65,56	78,15	81,30	66,13	63,73	81,78	81,56	63,73	62,50	80,00	80,50	63,39
Other generators_Coal	1,19 	1,04 	0,90 	1,24 	1,12 	0,98 	0,85 	1,16 	0,81 	0,67 	0,59 	0,85 	1,11 	1,01 	0,99 	1,22 	0,91 	0,76 	0,73 	0,92 	1,12 	1,22 	0,91 	1,18 	1,07 	1,03 	0,85 	1,01 	1,02 	1,01 	0,89 	1,03 	0,97 	0,98 	0,92 	1,04 	1,02 	1,11 	0,76 	0,98 	1,01 	0,98 	1,04 	1,04 	1,05 	0,95 	0,72 	1,03 	0,97 	0,93 	0,82 	1,03 	1,05 	0,97 	0,83 	0,93 	0,87 	0,90 	0,52	0,70	0,02 	0,02	0,02	0,02	0,02	0,02	0,02	0,02	0,02	0,02	0,02	0,02	0,01	0,01	0,01	0,02	0,01	0,01	0,01	0,01	0,01	0,01
Other generators_Oil	1,27 	0,94 	1,71 	0,83 	1,17 	0,86 	0,81 	0,76 	1,13 	0,95 	0,91 	1,12 	1,01 	0,89 	0,31 	0,58 	0,71 	0,49 	0,73 	0,85 	0,62 	0,59 	0,53 	0,65 	0,78 	0,68 	0,59 	0,72 	0,73 	0,52 	0,48 	0,69 	0,74 	0,53 	0,56 	0,63 	0,67 	0,64 	0,37 	0,40 	0,42 	0,54 	0,58 	0,61 	0,59 	0,49 	0,42 	0,66 	0,62 	0,63 	0,67 	0,61 	0,47 	0,42 	0,59 	0,57 	0,40 	0,34 	0,36	0,34	0,26 	0,35	0,38	0,33	0,37	0,41	0,34	0,27	0,36	0,28	0,37	0,35	0,15	0,43	0,34	0,37	0,23	0,29	0,39	0,32	0,30	0,23
Other generators_Gas	2,58 	2,70 	3,18 	3,54 	3,13 	3,27 	3,85 	4,28 	5,25 	4,26 	4,56 	4,45 	3,71 	3,85 	3,80 	3,55 	4,44 	4,41 	3,79 	3,90 	4,42 	4,28 	4,19 	4,75 	4,55 	4,07 	3,86 	4,02 	4,01 	3,80 	3,91 	3,44 	3,72 	3,79 	3,33 	3,36 	4,09 	3,91 	3,82 	4,64 	4,01 	3,56 	3,54 	3,53 	3,77 	3,29 	3,66 	3,19 	3,78 	3,26 	3,30 	3,57 	3,69 	3,49 	3,29 	3,29 	3,65 	3,35 	3,40	3,54	3,79 	3,13	2,77	3,27	3,22	2,82	2,83	3,15	3,11	2,78	2,84	2,67	2,71	2,55	2,87	3,03	3,43	2,84	3,02	3,03	3,19	3,11
Other generators_Hydro (natural flow) 	0,26 	0,21 	0,17 	0,24 	0,27 	0,21 	0,17 	0,25 	0,28 	0,14 	0,11 	0,23 	0,21 	0,16 	0,17 	0,29 	0,29 	0,21 	0,17 	0,19 	0,20 	0,16 	0,13 	0,18 	0,25 	0,20 	0,22 	0,27 	0,31 	0,25 	0,22 	0,31 	0,23 	0,21 	0,16 	0,30 	0,29 	0,19 	0,22 	0,24 	0,29 	0,19 	0,18 	0,26 	0,26 	0,20 	0,21 	0,26 	0,23 	0,20 	0,21 	0,26 	0,29 	0,24 	0,25 	0,33 	0,32 	0,23 	0,26	0,33	0,31 	0,25	0,22	0,32	0,38	0,30	0,24	0,34	0,38	0,33	0,30	0,39	0,54	0,35	0,38	0,40	0,58	0,38	0,45	0,33	0,30	0,22
Other generators_Wind and Solar	0,21 	0,21 	0,22 	0,23 	0,20 	0,21 	0,22 	0,23 	0,23 	0,23 	0,24 	0,25 	0,25 	0,24 	0,23 	0,25 	0,25 	0,28 	0,33 	0,40 	0,40 	0,25 	0,20 	0,44 	0,50 	0,36 	0,46 	0,62 	0,75 	0,54 	0,69 	0,93 	1,09 	0,79 	1,01 	1,35 	0,52 	0,31 	0,40 	0,50 	0,54 	0,32 	0,32 	0,58 	0,75 	0,58 	0,64 	0,80 	0,57 	0,41 	0,63 	0,75 	0,67 	0,72 	0,68 	1,22 	0,91 	0,95 	1,15	1,03	1,11 	1,73	1,61	2,01	2,24	2,28	2,41	2,32	2,82	3,94	3,39	3,00	3,20	4,40	4,48	2,84	3,51	5,30	4,68	4,06	4,28	4,96
Other generators_Bioenergy	0,63 	0,65 	0,67 	0,70 	0,77 	0,79 	0,82 	0,85 	0,91 	0,85 	0,93 	0,94 	0,99 	1,06 	1,12 	1,14 	1,21 	1,17 	1,18 	1,21 	1,40 	1,31 	1,34 	1,49 	1,52 	1,61 	1,60 	1,75 	1,69 	1,65 	1,69 	1,92 	1,65 	1,69 	1,75 	1,91 	1,73 	1,64 	1,70 	1,91 	1,75 	1,64 	1,71 	1,86 	2,01 	1,92 	1,95 	2,16 	2,07 	2,11 	2,12 	2,17 	2,15 	2,16 	2,17 	2,19 	2,16 	2,10 	2,15	2,21	2,12 	2,22	2,23	2,32	2,40	2,45	2,46	2,61	2,81	2,85	2,90	3,00	3,20	3,04	3,12	3,30	3,51	3,51	3,57	3,51	3,52	3,56
Other generators_Other fuels	1,56 	0,91 	0,85 	0,92 	1,59 	0,92 	0,86 	0,94 	1,12 	1,38 	0,72 	1,19 	0,94 	0,90 	0,88 	0,86 	0,92 	0,86 	0,95 	0,99 	1,00 	0,97 	0,90 	0,92 	0,67 	0,77 	0,68 	0,95 	0,94 	0,89 	0,94 	0,91 	0,91 	0,81 	0,82 	0,83 	0,80 	0,90 	0,95 	0,81 	0,85 	0,85 	0,71 	0,78 	0,82 	0,75 	0,85 	0,78 	0,64 	0,67 	0,64 	0,59 	0,74 	0,75 	0,78 	0,56 	0,78 	0,86 	0,88	0,88	0,71 	0,76	0,70	0,70	0,86	0,82	0,82	0,86	1,06	1,02	0,96	0,90	1,10	1,11	1,12	1,28	0,97	1,01	0,96	1,24	1,02	1,06
Other generators_Total other generators	7,70 	6,66 	7,71 	7,70 	8,24 	7,25 	7,58 	8,48 	9,72 	8,48 	8,06 	9,02 	8,23 	8,11 	7,50 	7,89 	8,72 	8,18 	7,89 	8,47 	9,16 	8,79 	8,19 	9,62 	9,34 	8,72 	8,25 	9,31 	9,45 	8,66 	8,81 	9,23 	9,31 	8,78 	8,54 	9,41 	9,11 	8,70 	8,22 	9,48 	8,87 	8,07 	8,08 	8,65 	9,25 	8,18 	8,45 	8,86 	8,89 	8,20 	8,39 	8,99 	9,04 	8,73 	8,58 	9,09 	9,10 	8,73 	8,71	9,04	8,33	8,46	7,91	8,96	9,48	9,10	9,13	9,56	10,56	11,23	10,77	10,33	10,91	11,89	12,32	11,23	12,23	13,35	13,10	12,51	12,63	13,16
